Which of these Crayola Crayon colors takes its name,"from a lyric in the song ""America the Beautiful""?",Purple Mountain's Majesty,Wild Watermelon,Mountain Meadow,Robin's Egg Blue,1,0,1
Which of the following is a type of nut and,not a member of the United Nations?,Malaysia,Mauritania,Macadamia,Mongolia,3,1,2
"Brackets are best described as ""square-cornered""",versions of what other punctuation marks?,Parentheses,Hyphens,Ellipses,Semicolons,1,2,4
"Based in Colorado, ""Chicks with Picks"" is a sports program that",teaches women the basics of what adventurous sport?,Skydiving,Water skiing,Ice climbing,Bungee jumping,3,3,3
"Since the early 1960s, the U.S. has maintained a trade embargo",with what nation to encourage democratic practices?,Cuba,Brazil,Canada,Mexico,1,4,4
"Introduced by Amazon.com in 2007, the Kindle is a hot-selling",electronic gadget designed primarily for what purpose?,Recording HD video,Navigating by GPS,Boosting cellphone signals,Reading electronic books,4,5,5
"Commonly seen in college alumni magazines, what French word",is often used to indicate a married woman's maiden name?,Rol,Gaz,Née,Ile,3,6,6
What famous novel features a character named,Boo Radley?,The Color Purple,Catcher in the Rye,Gone with the Wind,To Kill a Mockingbird,4,8,7
Which of the following is not guaranteed in the,U.S. Constitution's First Amendment?,Right to bear arms,Right to assemble,Freedom of speech,Freedom of the press,1,9,8
If you asked for 'pomme frites' in a French,"restaurant, what would you get?",French fries,Baked potato,French onion soup,Bad service,1,1,9
What is a young male horse called?,EMPTY,Billy,Colt,Filly,Cow,2,0,10
What is the most common nickname for athlete,Dennis Rodman?,Worm,Weasel,Warlock,Wendy,1,2,11
What is the hardest natural substance known,to man?,Amber,Chalk,Diamond ,Onyx,3,3,12
A young mother named Debbi started what,cookie company in 1977?,Famous Amos,Pepperidge Farms,Mrs. Fields,Keebler,3,4,13
What type of clothing is a mackintosh?,EMPTY,Shoe,Hat,Raincoat,Shirt,3,5,14
Who wrote the autobiographical plays 'Biloxi Blues',and 'Broadway Bound'?,Edward Albee,Thornton Wilder,August Wilson,Neil Simon,4,6,15
A combination of contradictory words like 'cruel,kindness' is called what?,Oxymoron,Onomatopoeia,Alliteration,Metaphor,1,7,16
